pseudo_id,sample_ratio_tier,label,spatial_block_id,spatial_block_name,latitude,longitude,min_distance_to_landslide_m,elevation,slope,aspect,plan_curvature,profile_curvature,twi,spi,landcover_code,landcover_name,ndvi_mean,soil_clay_fraction,soil_sand_fraction,soil_bulk_density,soil_ph,lithology_major,lithology_code,distance_to_roads,distance_to_streams,event_date,event_year,temporal_quality,rainfall_event_day,ari_3,ari_7,ari_15,ari_30,max_1day_7d,max_3day_30d,rainy_days_7d,rainy_days_15d,rainy_days_30d
NEG_0001,1:1,0,1,Garo Hills Block,25.545145,90.100808,9357.4,69.15,21.80,225.81,0.003871,0.000003,4.9233,18.6447,10,Tree cover,0.653,24.2,51.2,1.33,5.3,Mixed Sedimentary,SM,8.6,165.4,NA,NA,NO_EVENT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NEG_0002,1:1,0,2,West Khasi Block,25.507368,91.594325,3485.7,1370.62,26.85,286.48,-0.000276,0.001063,4.6246,18.6688,10,Tree cover,0.662,30.3,43.9,1.34,4.9,Metamorphic,MT,73.1,382.1,NA,NA,NO_EVENT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NEG_0003,1:1,0,4,Ri-Bhoi Block,25.891651,92.348974,19871.1,1079.00,29.19,44.26,-0.000578,-0.001010,5.0508,19.5496,10,Tree cover,0.791,33.3,41.7,1.32,4.7,Metamorphic,MT,27.2,520.0,NA,NA,NO_EVENT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NEG_0004,1:1,0,2,West Khasi Block,25.308639,91.452902,660.0,1138.34,19.54,133.96,-0.003456,-0.000638,5.8297,40.8259,10,Tree cover,0.770,25.7,47.2,1.41,4.9,Siliciclastic Sedimentary,SS,125.0,3886.9,NA,NA,NO_EVENT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NEG_0005,1:1,0,2,West Khasi Block,25.582522,91.460925,3815.2,1285.88,18.33,226.76,-0.004115,0.000390,5.1428,22.2767,10,Tree cover,0.650,28.1,46.9,1.31,5.1,Metamorphic,MT,28.5,3340.5,NA,NA,NO_EVENT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NEG_0006,1:1,0,3,East Khasi Block,25.235437,91.729564,663.2,1436.75,27.32,40.59,0.002695,-0.000310,5.1567,35.5767,10,Tree cover,0.808,28.4,48.4,1.43,5.1,Siliciclastic Sedimentary,SS,121.2,969.7,NA,NA,NO_EVENT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NEG_0007,1:1,0,3,East Khasi Block,25.120622,91.614187,6845.7,1158.14,24.05,341.41,0.001478,0.000382,5.0276,18.2704,10,Tree cover,0.830,30.3,44.4,1.44,5.2,Siliciclastic Sedimentary,SS,30.4,347.3,NA,NA,NO_EVENT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NEG_0008,1:1,0,4,Ri-Bhoi Block,25.851666,92.285320,13358.2,1144.35,25.47,47.77,-0.001378,-0.001792,5.2772,25.8588,10,Tree cover,0.768,31.9,44.1,1.30,4.9,Metamorphic,MT,171.4,2028.9,NA,NA,NO_EVENT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NEG_0009,1:1,0,2,West Khasi Block,25.538411,91.262728,724.7,903.52,15.38,270.39,-0.002354,0.001577,5.4526,18.1980,10,Tree cover,0.654,29.2,41.8,1.32,4.8,Metamorphic,MT,12.0,717.1,NA,NA,NO_EVENT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NEG_0010,1:1,0,3,East Khasi Block,25.196062,91.932742,4730.3,1293.88,29.69,124.06,0.001206,-0.000036,4.8615,26.3868,10,Tree cover,0.821,29.5,52.7,1.44,5.2,Siliciclastic Sedimentary,SS,103.2,500.7,NA,NA,NO_EVENT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NEG_0011,1:1,0,1,Garo Hills Block,25.268182,90.654764,3573.2,56.99,27.82,101.40,0.000346,-0.002789,5.1651,44.0653,10,Tree cover,0.792,27.2,53.0,1.42,5.1,Mixed Sedimentary,SM,160.3,1358.5,NA,NA,NO_EVENT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NEG_0012,1:1,0,2,West Khasi Block,25.065765,91.374152,13593.3,819.77,32.49,214.74,0.004549,-0.000125,4.1525,28.1622,10,Tree cover,0.820,29.5,50.6,1.44,4.8,Siliciclastic Sedimentary,SS,59.8,429.7,NA,NA,NO_EVENT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NEG_0013,1:1,0,4,Ri-Bhoi Block,25.731209,92.402003,14172.2,1042.56,26.00,342.35,-0.001892,-0.001829,4.8024,49.0232,10,Tree cover,0.695,28.1,39.8,1.28,4.6,Metamorphic,MT,44.1,5117.6,NA,NA,NO_EVENT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NEG_0014,1:1,0,2,West Khasi Block,25.326482,91.526096,4205.2,1293.44,15.68,117.74,-0.002367,-0.000345,6.1190,36.8078,10,Tree cover,0.759,25.9,51.7,1.32,4.7,Plutonic Acidic,PA,169.6,1490.5,NA,NA,NO_EVENT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NEG_0015,1:1,0,2,West Khasi Block,25.256145,91.581326,1373.1,1210.55,32.06,87.63,-0.000218,0.001902,4.8127,44.7917,60,Bare / sparse vegetation,0.400,27.7,44.1,1.42,5.2,Siliciclastic Sedimentary,SS,15.9,626.5,NA,NA,NO_EVENT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NEG_0016,1:1,0,2,West Khasi Block,25.387621,91.580556,2965.7,1451.72,25.66,86.79,-0.000337,-0.001941,5.1707,42.5201,10,Tree cover,0.721,34.2,44.4,1.37,4.7,Metamorphic,MT,25.5,1577.2,NA,NA,NO_EVENT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NEG_0017,1:1,0,4,Ri-Bhoi Block,25.895137,91.890752,3406.7,1328.84,33.82,89.51,-0.000753,0.002031,4.6839,19.3589,10,Tree cover,0.793,33.4,39.4,1.32,4.6,Metamorphic,MT,26.1,5707.2,NA,NA,NO_EVENT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NEG_0018,1:1,0,2,West Khasi Block,25.065648,91.005785,14358.9,485.86,23.85,310.81,-0.004013,0.000188,4.8433,25.4833,60,Bare / sparse vegetation,0.193,29.5,44.8,1.44,5.3,Siliciclastic Sedimentary,SS,11.8,143.1,NA,NA,NO_EVENT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NEG_0019,1:1,0,2,West Khasi Block,25.119495,91.116844,8980.0,601.56,24.30,352.43,0.001568,0.000747,5.0032,18.3262,10,Tree cover,0.830,30.3,49.1,1.44,5.1,Siliciclastic Sedimentary,SS,147.8,399.4,NA,NA,NO_EVENT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NEG_0020,1:1,0,3,East Khasi Block,25.612027,91.799471,3452.3,1704.04,23.45,308.62,0.000147,-0.002499,4.7253,29.4762,10,Tree cover,0.824,27.5,38.1,1.30,4.3,Metamorphic,MT,210.5,1631.8,NA,NA,NO_EVENT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NEG_0021,1:1,0,5,Jaintia Hills Block,25.103502,92.074840,8054.1,1127.34,19.62,196.62,0.002032,-0.001772,5.3151,19.2649,10,Tree cover,0.828,37.3,24.5,1.31,5.8,Carbonate Sedimentary,SC,59.6,997.8,NA,NA,NO_EVENT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NEG_0022,1:1,0,1,Garo Hills Block,25.656703,90.802005,2413.8,260.98,33.63,220.98,-0.000627,-0.002504,3.9639,48.3683,10,Tree cover,0.662,28.4,48.2,1.32,5.4,Mixed Sedimentary,SM,80.2,2326.8,NA,NA,NO_EVENT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NEG_0023,1:1,0,4,Ri-Bhoi Block,25.699173,91.298090,9391.1,1070.60,26.16,239.53,-0.000425,0.000071,4.6752,48.3754,60,Bare / sparse vegetation,0.339,27.5,43.2,1.28,4.8,Metamorphic,MT,10.7,4375.2,NA,NA,NO_EVENT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NEG_0024,1:1,0,3,East Khasi Block,25.548537,91.704085,2848.0,1666.15,17.97,318.30,-0.002988,-0.001169,5.2223,18.7279,10,Tree cover,0.652,28.9,39.8,1.32,4.4,Metamorphic,MT,218.4,1677.2,NA,NA,NO_EVENT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NEG_0025,1:1,0,4,Ri-Bhoi Block,25.705965,91.347059,10739.7,1064.64,29.87,215.16,-0.004740,0.000149,4.4010,53.2726,10,Tree cover,0.682,27.6,45.0,1.28,5.0,Metamorphic,MT,127.9,8619.8,NA,NA,NO_EVENT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NEG_0026,1:1,0,3,East Khasi Block,25.249184,91.603103,2106.3,1223.84,34.64,74.55,-0.001131,0.000418,4.5962,44.7727,10,Tree cover,0.802,27.9,44.2,1.43,5.2,Siliciclastic Sedimentary,SS,124.0,1110.6,NA,NA,NO_EVENT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NEG_0027,1:1,0,4,Ri-Bhoi Block,25.920591,91.875278,834.0,1335.08,29.18,80.78,-0.003481,0.000733,5.0655,18.0135,10,Tree cover,0.805,34.1,39.0,1.33,4.6,Metamorphic,MT,164.2,6228.4,NA,NA,NO_EVENT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NEG_0028,1:1,0,1,Garo Hills Block,25.141708,90.680556,9013.0,66.88,15.70,168.51,0.000386,0.002743,5.7798,18.0968,10,Tree cover,0.830,30.3,52.6,1.44,5.1,Mixed Sedimentary,SM,17.4,888.5,NA,NA,NO_EVENT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NEG_0029,1:1,0,5,Jaintia Hills Block,25.182157,92.088765,1203.1,1307.22,24.57,152.74,-0.003979,-0.000531,5.2241,22.3728,10,Tree cover,0.825,40.5,24.7,1.33,5.8,Carbonate Sedimentary,SC,57.2,323.6,NA,NA,NO_EVENT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NEG_0030,1:1,0,3,East Khasi Block,25.402734,91.873748,620.2,1705.20,31.01,67.46,-0.002121,0.000892,4.6902,43.7229,10,Tree cover,0.774,33.8,38.9,1.37,4.3,Metamorphic,MT,103.0,2940.2,NA,NA,NO_EVENT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NEG_0031,1:1,0,1,Garo Hills Block,25.035193,90.830263,27304.6,156.20,35.58,221.75,0.002640,0.001320,3.8224,39.1340,10,Tree cover,0.768,28.6,46.9,1.43,5.4,Mixed Sedimentary,SM,218.2,166.4,NA,NA,NO_EVENT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NEG_0032,1:1,0,2,West Khasi Block,25.215729,91.227106,1083.7,759.64,24.91,64.38,0.004348,-0.000171,5.3023,29.3498,10,Tree cover,0.815,29.0,52.8,1.43,4.9,Siliciclastic Sedimentary,SS,178.6,401.8,NA,NA,NO_EVENT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NEG_0033,1:1,0,2,West Khasi Block,25.076289,91.266838,14206.5,841.87,21.96,266.18,-0.003166,-0.000366,5.0292,23.0192,10,Tree cover,0.823,29.7,53.1,1.44,4.8,Siliciclastic Sedimentary,SS,31.7,489.3,NA,NA,NO_EVENT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NEG_0034,1:1,0,1,Garo Hills Block,25.552037,90.415276,4634.1,67.97,15.79,313.03,-0.000026,-0.001473,5.3896,18.8449,10,Tree cover,0.652,24.5,46.0,1.33,4.8,Mixed Sedimentary,SM,25.1,600.6,NA,NA,NO_EVENT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NEG_0035,1:1,0,4,Ri-Bhoi Block,25.891629,92.121077,4324.0,1269.88,32.86,127.82,-0.000594,0.000706,4.7572,19.7471,10,Tree cover,0.791,33.3,46.7,1.32,5.1,Metamorphic,MT,104.3,3997.0,NA,NA,NO_EVENT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NEG_0036,1:1,0,3,East Khasi Block,25.433747,91.604965,2063.6,1450.80,34.68,25.75,-0.004710,-0.000094,4.2781,36.6541,10,Tree cover,0.694,32.9,43.5,1.36,4.6,Metamorphic,MT,139.3,1030.7,NA,NA,NO_EVENT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NEG_0037,1:1,0,4,Ri-Bhoi Block,25.943211,92.705724,17218.3,535.31,24.76,134.71,0.003250,0.000357,5.4067,19.1794,10,Tree cover,0.814,34.6,43.6,1.34,4.9,Metamorphic,MT,59.6,1410.9,NA,NA,NO_EVENT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NEG_0038,1:1,0,2,West Khasi Block,25.097347,91.187227,11892.0,694.20,20.25,333.30,-0.001701,0.001707,5.2414,19.8968,10,Tree cover,0.827,30.1,51.9,1.44,4.9,Siliciclastic Sedimentary,SS,38.7,106.6,NA,NA,NO_EVENT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NEG_0039,1:1,0,4,Ri-Bhoi Block,25.940833,92.301186,14623.5,1033.22,16.63,50.06,-0.000146,-0.000649,6.0593,18.6506,10,Tree cover,0.813,34.5,43.5,1.34,4.9,Metamorphic,MT,77.6,5967.1,NA,NA,NO_EVENT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NEG_0040,1:1,0,1,Garo Hills Block,25.480905,90.699928,552.0,180.75,23.40,208.87,0.002455,-0.001506,4.9946,21.4161,10,Tree cover,0.671,22.7,52.2,1.35,5.2,Mixed Sedimentary,SM,37.8,1041.9,NA,NA,NO_EVENT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NEG_0041,1:1,0,3,East Khasi Block,25.359522,91.858169,2139.3,1647.26,23.27,66.84,0.002876,-0.000123,5.4451,44.3014,10,Tree cover,0.738,34.8,38.6,1.38,4.3,Metamorphic,MT,137.4,3796.1,NA,NA,NO_EVENT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NEG_0042,1:1,0,1,Garo Hills Block,25.867126,90.977803,7618.4,450.33,26.00,72.03,-0.002347,0.000180,5.2691,22.9142,10,Tree cover,0.777,28.3,44.3,1.36,5.3,Mixed Sedimentary,SM,30.4,1536.5,NA,NA,NO_EVENT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NEG_0043,1:1,0,5,Jaintia Hills Block,25.239687,92.814086,14255.5,406.00,26.04,102.75,-0.000636,0.002569,5.2676,35.8095,10,Tree cover,0.806,28.3,44.2,1.43,5.3,Siliciclastic Sedimentary,SS,108.4,509.5,NA,NA,NO_EVENT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NEG_0044,1:1,0,2,West Khasi Block,25.241032,91.253857,4416.0,803.34,26.37,83.93,0.001794,0.001423,5.2437,36.3716,10,Tree cover,0.805,28.2,53.1,1.43,4.8,Siliciclastic Sedimentary,SS,115.9,1340.0,NA,NA,NO_EVENT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NEG_0045,1:1,0,1,Garo Hills Block,25.948934,89.800536,45014.9,25.00,25.20,47.21,-0.001693,-0.000044,5.3652,19.7985,10,Tree cover,0.816,25.2,46.5,1.39,5.2,Mixed Sedimentary,SM,66.2,8.2,NA,NA,NO_EVENT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NEG_0046,1:1,0,2,West Khasi Block,25.026469,91.069651,18504.4,445.53,34.19,316.91,0.001424,0.002101,3.9153,41.1644,60,Bare / sparse vegetation,0.165,28.3,47.0,1.43,5.2,Siliciclastic Sedimentary,SS,7.0,111.9,NA,NA,NO_EVENT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
