pseudo_id,sample_ratio_tier,label,spatial_block_id,spatial_block_name,latitude,longitude,min_distance_to_landslide_m,elevation,slope,aspect,plan_curvature,profile_curvature,twi,spi,landcover_code,landcover_name,ndvi_mean,soil_clay_fraction,soil_sand_fraction,soil_bulk_density,soil_ph,lithology_major,lithology_code,distance_to_roads,distance_to_streams,event_date,event_year,temporal_quality,rainfall_event_day,ari_3,ari_7,ari_15,ari_30,max_1day_7d,max_3day_30d,rainy_days_7d,rainy_days_15d,rainy_days_30d
NEG_0001,1:1,0,1,Garo Hills Block,25.545145,90.100808,9362.0,69.15,21.80,225.81,0.003871,0.000003,4.9233,18.6447,10,Tree cover,0.653,24.2,51.2,1.33,5.3,Mixed Sedimentary,SM,8.6,165.9,NA,NA,NO_EVENT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NEG_0002,1:1,0,2,West Khasi Block,25.507368,91.594325,3497.2,1370.62,26.85,286.48,-0.000276,0.001063,4.6246,18.6688,10,Tree cover,0.662,30.3,43.9,1.34,4.9,Metamorphic,MT,73.0,383.2,NA,NA,NO_EVENT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NEG_0003,1:1,0,4,Ri-Bhoi Block,25.891651,92.348974,19788.2,1079.00,29.19,44.26,-0.000578,-0.001010,5.0508,19.5496,10,Tree cover,0.791,33.3,41.7,1.32,4.7,Metamorphic,MT,27.1,520.0,NA,NA,NO_EVENT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NEG_0004,1:1,0,2,West Khasi Block,25.308639,91.452902,662.3,1138.34,19.54,133.96,-0.003456,-0.000638,5.8297,40.8259,10,Tree cover,0.770,25.7,47.2,1.41,4.9,Siliciclastic Sedimentary,SS,125.1,3900.7,NA,NA,NO_EVENT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NEG_0005,1:1,0,2,West Khasi Block,25.582522,91.460925,3808.5,1285.88,18.33,226.76,-0.004115,0.000390,5.1428,22.2767,10,Tree cover,0.650,28.1,46.9,1.31,5.1,Metamorphic,MT,28.6,3340.8,NA,NA,NO_EVENT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NEG_0006,1:1,0,3,East Khasi Block,25.235437,91.729564,665.0,1436.75,27.32,40.59,0.002695,-0.000310,5.1567,35.5767,10,Tree cover,0.808,28.4,48.4,1.43,5.1,Siliciclastic Sedimentary,SS,121.4,972.8,NA,NA,NO_EVENT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NEG_0007,1:1,0,3,East Khasi Block,25.120622,91.614187,6870.1,1158.14,24.05,341.41,0.001478,0.000382,5.0276,18.2704,10,Tree cover,0.830,30.3,44.4,1.44,5.2,Siliciclastic Sedimentary,SS,30.4,348.0,NA,NA,NO_EVENT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NEG_0008,1:1,0,4,Ri-Bhoi Block,25.851666,92.285320,13304.0,1144.35,25.47,47.77,-0.001378,-0.001792,5.2772,25.8588,10,Tree cover,0.768,31.9,44.1,1.30,4.9,Metamorphic,MT,171.2,2027.0,NA,NA,NO_EVENT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NEG_0009,1:1,0,2,West Khasi Block,25.538411,91.262728,727.2,903.52,15.38,270.39,-0.002354,0.001577,5.4526,18.1980,10,Tree cover,0.654,29.2,41.8,1.32,4.8,Metamorphic,MT,12.0,716.4,NA,NA,NO_EVENT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NEG_0010,1:1,0,3,East Khasi Block,25.196062,91.932742,4742.6,1293.88,29.69,124.06,0.001206,-0.000036,4.8615,26.3868,10,Tree cover,0.821,29.5,52.7,1.44,5.2,Siliciclastic Sedimentary,SS,103.6,501.5,NA,NA,NO_EVENT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
