source_page,sl_no,slide_no,state,district,slide_name,nh_sh_location,latitude,longitude,material_involved,movement_type,history
484,19606,MEG/WJH/83C4/2016/51,Meghalaya,East Jaintia Hills,0.13 km SE of Rathacherra,NH44,25.033514,92.435539,Rock,Slide,2016
484,19607,MEG/WJH/83C4/2016/50,Meghalaya,East Jaintia Hills,0.29 km SE of Rathacherra,NH44,25.033628,92.439331,Debris,Slide,2016
484,19608,MEG/WJH/83C4/2016/52,Meghalaya,East Jaintia Hills,Rathacherra,NH44,25.034289,92.435222,Debris,Slide,2015
484,19609,MEG/WJH/83C4/2016/49,Meghalaya,East Jaintia Hills,0.48 km NE of Rathacherra,NH44,25.037722,92.439556,Debris,Slide,2016
484,19610,MEG/WJH/83C4/2016/48,Meghalaya,East Jaintia Hills,0.55km NE of Rathacherra,NH44,25.037833,92.440417,Debris,Slide,2014
484,19611,MEG/WJH/83C4/2016/47,Meghalaya,East Jaintia Hills,0.60 km NE of Rathacherra,NH40,25.038186,92.440725,Debris,Slide,2014
484,19612,MEG/WJH/83C4/2016/53,Meghalaya,East Jaintia Hills,0.46 km N of Rathacherra,NH44,25.038361,92.43675,Debris,Slide,2016
484,19613,MEG/WJH/83C4/2016/78,Meghalaya,East Jaintia Hills,0.55 km N of Rathacherra,Nh44,25.039097,92.436869,Debris,Slide,NA
484,19614,MEG/WJH/83C4/2016/46,Meghalaya,East Jaintia Hills,1.25 km NE of Rathacherra,NH44,25.040511,92.446119,Debris,Slide,2015
484,19615,MEG/WJH/83C4/2016/77,Meghalaya,East Jaintia Hills,1.08 km NE of Rathacherra,NH44,25.042189,92.441964,Debris,Slide,2015
484,19616,MEG/WJH/83C4/2016/79,Meghalaya,East Jaintia Hills,0.91km NNW of Rathacherra,NH44,25.042408,92.434525,Rock,Slide,2015
484,19617,MEG/WJH/83C4/2016/55,Meghalaya,East Jaintia Hills,0.92 km NNW of Rathacherra,NH44,25.042556,92.435028,Rock,Slide,2016
484,19618,MEG/WJH/83C4/2016/54,Meghalaya,East Jaintia Hills,1 km NW of Rathacherra,NH44,25.042778,92.432472,Rock,Slide,2015
484,19619,MEG/WJH/83C4/2016/60,Meghalaya,East Jaintia Hills,0.7km E of Danaubluh,NH44,25.043667,92.425444,Rock,Slide,2016
484,19620,MEG/WJH/83C4/2016/62,Meghalaya,East Jaintia Hills,0.39 km E of Danaubluh,NH44,25.043914,92.423556,Rock,Slide,2015
484,19621,MEG/WJH/83C4/2016/83,Meghalaya,East Jaintia Hills,Danaubluh,NH44,25.044056,92.418778,Debris,Slide,2015
484,19622,MEG/WJH/83C4/2016/56,Meghalaya,East Jaintia Hills,1.23 km NW of Rathacherra,NH44,25.044136,92.430244,Rock,Slide,2016
484,19623,MEG/WJH/83C4/2016/61,Meghalaya,East Jaintia Hills,0.42km E of Danaubluh,NH44,25.044417,92.423908,Debris,Slide,2016
484,19624,MEG/WJH/83C4/2016/59,Meghalaya,East Jaintia Hills,1.38 km NW of Rathacherra,NH44,25.044442,92.427761,Debris,Slide,2016
484,19625,MEG/WJH/83C4/2016/63,Meghalaya,East Jaintia Hills,0.41 km NE of Danaubluh,Nh44,25.044733,92.423675,Rock,Slide,2015
484,19626,MEG/WJH/83C4/2016/57,Meghalaya,East Jaintia Hills,1.29 km NW of Rathacherra,NH44,25.044778,92.430333,Debris,Slide,2015
