source_page,sl_no,slide_no,state,district,slide_name,nh_sh_location,latitude,longitude,material_involved,movement_type,history,elevation,slope,aspect,plan_curvature,profile_curvature,twi,spi
484,19606,MEG/WJH/83C4/2016/51,Meghalaya,East Jaintia Hills,0.13 km SE of Rathacherra,NH44,25.033514,92.435539,Rock,Slide,2016,360.00,21.34,226.94,0.009206,0.001579,5.6587,43.7951
484,19607,MEG/WJH/83C4/2016/50,Meghalaya,East Jaintia Hills,0.29 km SE of Rathacherra,NH44,25.033628,92.439331,Debris,Slide,2016,349.00,32.25,111.03,0.001099,-0.002594,4.8920,53.0310
484,19608,MEG/WJH/83C4/2016/52,Meghalaya,East Jaintia Hills,Rathacherra,NH44,25.034289,92.435222,Debris,Slide,2015,366.00,26.48,242.45,0.002116,0.001985,4.7227,27.9153
484,19609,MEG/WJH/83C4/2016/49,Meghalaya,East Jaintia Hills,0.48 km NE of Rathacherra,NH44,25.037722,92.439556,Debris,Slide,2016,340.00,27.62,153.68,-0.003126,0.000820,5.7724,87.9449
484,19610,MEG/WJH/83C4/2016/48,Meghalaya,East Jaintia Hills,0.55km NE of Rathacherra,NH44,25.037833,92.440417,Debris,Slide,2014,307.00,32.04,143.22,0.005550,-0.001201,5.5931,105.2086
484,19611,MEG/WJH/83C4/2016/47,Meghalaya,East Jaintia Hills,0.60 km NE of Rathacherra,NH40,25.038186,92.440725,Debris,Slide,2014,310.00,31.37,127.10,0.009432,0.001912,4.5206,34.1675
484,19612,MEG/WJH/83C4/2016/53,Meghalaya,East Jaintia Hills,0.46 km N of Rathacherra,NH44,25.038361,92.43675,Debris,Slide,2016,323.00,23.05,235.92,0.000095,-0.002653,4.8802,23.8465
484,19613,MEG/WJH/83C4/2016/78,Meghalaya,East Jaintia Hills,0.55 km N of Rathacherra,Nh44,25.039097,92.436869,Debris,Slide,NA,331.00,28.77,338.05,-0.003542,-0.000009,5.0308,46.1542
484,19614,MEG/WJH/83C4/2016/46,Meghalaya,East Jaintia Hills,1.25 km NE of Rathacherra,NH44,25.040511,92.446119,Debris,Slide,2015,316.00,27.19,241.31,0.015373,0.001548,4.6920,28.7830
484,19615,MEG/WJH/83C4/2016/77,Meghalaya,East Jaintia Hills,1.08 km NE of Rathacherra,NH44,25.042189,92.441964,Debris,Slide,2015,285.00,32.05,203.52,-0.006407,0.000474,5.5928,105.2333
484,19616,MEG/WJH/83C4/2016/79,Meghalaya,East Jaintia Hills,0.91km NNW of Rathacherra,NH44,25.042408,92.434525,Rock,Slide,2015,308.00,36.50,178.96,0.006929,0.000528,5.2434,103.6401
484,19617,MEG/WJH/83C4/2016/55,Meghalaya,East Jaintia Hills,0.92 km NNW of Rathacherra,NH44,25.042556,92.435028,Rock,Slide,2016,302.00,38.33,166.29,0.002397,-0.000079,5.1772,110.7428
484,19618,MEG/WJH/83C4/2016/54,Meghalaya,East Jaintia Hills,1 km NW of Rathacherra,NH44,25.042778,92.432472,Rock,Slide,2015,284.00,35.75,203.76,-0.001414,0.000666,5.8586,181.5173
484,19619,MEG/WJH/83C4/2016/60,Meghalaya,East Jaintia Hills,0.7km E of Danaubluh,NH44,25.043667,92.425444,Rock,Slide,2016,216.00,32.02,150.03,0.002814,0.000921,4.4954,35.0343
484,19620,MEG/WJH/83C4/2016/62,Meghalaya,East Jaintia Hills,0.39 km E of Danaubluh,NH44,25.043914,92.423556,Rock,Slide,2015,198.00,34.28,251.68,-0.004183,-0.003499,5.1024,76.3719
484,19621,MEG/WJH/83C4/2016/83,Meghalaya,East Jaintia Hills,Danaubluh,NH44,25.044056,92.418778,Debris,Slide,2015,170.00,28.00,214.80,-0.000725,-0.000140,5.0631,44.6830
