source_page,sl_no,slide_no,latitude,longitude,slide_name,duplicate_reason
2,43,ASM/CHR/83H01/2020/001,24.92097,93.07306,Kanakpur Slide,Slide_No ASM/CHR/83H01/2020/001 appears 2 times in inventory
10,314,ASM/DIM/83C15/2017/07,25.443082,92.989873,Dalmia cement plant slide.,Slide_No ASM/DIM/83C15/2017/07 appears 2 times in inventory
10,335,ASM/DIM/83C15/2017/07,25.51402,92.765435,Dalmia cement plant slide.,Slide_No ASM/DIM/83C15/2017/07 appears 2 times in inventory
15,488,AS/KAM(M)/78N12/2023/01,26.1505375,91.72798139,Dhirenpara,Slide_No AS/KAM(M)/78N12/2023/01 appears 2 times in inventory
18,615,AS/K(M)/76N16/2024/01,26.19044,91.77502,Rudra Nagar Slide,Slide_No AS/K(M)/76N16/2024/01 appears 2 times in inventory
21,679,ASM/KAM/78N16/2020/001,26.146,91.756,Kahilipara Slide,Slide_No ASM/KAM/78N16/2020/001 appears 2 times in inventory
22,700,AS/K(M)/76N16/2024/01,26.19052,91.77499,Rudra Nagar Slide,Slide_No AS/K(M)/76N16/2024/01 appears 2 times in inventory
23,719,AS/KAM(M)/78N12/2023/01,26.150124,91.727915,Dhirenpara,Slide_No AS/KAM(M)/78N12/2023/01 appears 2 times in inventory
25,770,ASM/CHR/83H01/2020/001,24.92097,93.07306,Kanakpur Slide,Exact duplicate of record Sl.No 43 on page 2
25,773,ASM/KAM/78N16/2020/001,26.19330556,91.77725,Hirimbapur landslide,Slide_No ASM/KAM/78N16/2020/001 appears 2 times in inventory
26,805,ASM/DH/83C16/2023-24/001,25.117665,92.847709,Lower Boulsol slide,Slide_No ASM/DH/83C16/2023-24/001 appears 2 times in inventory
26,809,ASM/DH/83C16/2023-24/001,25.1644,92.994643,Duiring road slide,Slide_No ASM/DH/83C16/2023-24/001 appears 2 times in inventory
28,881,AR/PP/83E/12/2021/01,27.03106,93.62292,N/A,Slide_No AR/PP/83E/12/2021/01 appears 2 times in inventory
29,900,ARN/Papumpare/83E12/2020/0 1,27.08130556,93.61283333,N/A,Slide_No ARN/Papumpare/83E12/2020/0 1 appears 2 times in inventory
29,901,AR/PP/83E/12/2018/04,27.08155,93.61438,N/A,Slide_No AR/PP/83E/12/2018/04 appears 2 times in inventory
29,903,AR/83E/12/2021/03,27.083117,93.601735,N/A,Slide_No AR/83E/12/2021/03 appears 2 times in inventory
29,913,AR/83E/12/2021/2,27.09589,93.62284,N/A,Slide_No AR/83E/12/2021/2 appears 2 times in inventory
29,918,AR/83E/12/2018/06,27.10215,93.61371,N/A,Slide_No AR/83E/12/2018/06 appears 2 times in inventory
29,926,AR/83E/12/2021/05,27.10375,93.61529,N/A,Slide_No AR/83E/12/2021/05 appears 2 times in inventory
30,960,Arn/ Papum Pare /83E/12/2020/02,27.13469444,93.74347222,N/A,Slide_No Arn/ Papum Pare /83E/12/2020/02 appears 2 times in inventory
37,1208,Arn/ Papum Pare /83E/12/2020/02,27.13469444,93.74347222,Tigdo Slide,Slide_No Arn/ Papum Pare /83E/12/2020/02 appears 2 times in inventory
37,1209,ARN/Papumpare/83E12/2020/0 1,27.08130556,93.61283333,Donyi Slide,Slide_No ARN/Papumpare/83E12/2020/0 1 appears 2 times in inventory
37,1210,AR/ES/82P/8/2021/01,28.14116,95.27472,Renging,Slide_No AR/ES/82P/8/2021/01 appears 2 times in inventory
