record_type,record_id,latitude,longitude,spatial_block_id,spatial_block_name,sample_ratio_tier,min_dist_to_landslide_m,nearest_positive_sl_no,colocation_duplicate_flag
POSITIVE,19606,25.033514,92.435539,5,Jaintia Hills Block,NA,0.0,19606,NO
POSITIVE,19607,25.033628,92.439331,5,Jaintia Hills Block,NA,0.0,19607,NO
POSITIVE,19608,25.034289,92.435222,5,Jaintia Hills Block,NA,0.0,19608,NO
POSITIVE,19609,25.037722,92.439556,5,Jaintia Hills Block,NA,0.0,19609,NO
POSITIVE,19610,25.037833,92.440417,5,Jaintia Hills Block,NA,0.0,19610,NO
POSITIVE,19611,25.038186,92.440725,5,Jaintia Hills Block,NA,0.0,19611,NO
POSITIVE,19612,25.038361,92.43675,5,Jaintia Hills Block,NA,0.0,19612,NO
POSITIVE,19613,25.039097,92.436869,5,Jaintia Hills Block,NA,0.0,19613,NO
POSITIVE,19614,25.040511,92.446119,5,Jaintia Hills Block,NA,0.0,19614,NO
POSITIVE,19615,25.042189,92.441964,5,Jaintia Hills Block,NA,0.0,19615,NO
POSITIVE,19616,25.042408,92.434525,5,Jaintia Hills Block,NA,0.0,19616,NO
POSITIVE,19617,25.042556,92.435028,5,Jaintia Hills Block,NA,0.0,19617,NO
POSITIVE,19618,25.042778,92.432472,5,Jaintia Hills Block,NA,0.0,19618,NO
POSITIVE,19619,25.043667,92.425444,5,Jaintia Hills Block,NA,0.0,19619,NO
POSITIVE,19620,25.043914,92.423556,5,Jaintia Hills Block,NA,0.0,19620,NO
POSITIVE,19621,25.044056,92.418778,5,Jaintia Hills Block,NA,0.0,19621,NO
POSITIVE,19622,25.044136,92.430244,5,Jaintia Hills Block,NA,0.0,19622,NO
POSITIVE,19623,25.044417,92.423908,5,Jaintia Hills Block,NA,0.0,19623,NO
POSITIVE,19624,25.044442,92.427761,5,Jaintia Hills Block,NA,0.0,19624,NO
POSITIVE,19625,25.044733,92.423675,5,Jaintia Hills Block,NA,0.0,19625,NO
POSITIVE,19626,25.044778,92.430333,5,Jaintia Hills Block,NA,0.0,19626,NO
POSITIVE,19627,25.044833,92.429333,5,Jaintia Hills Block,NA,0.0,19627,NO
POSITIVE,19628,25.044947,92.420261,5,Jaintia Hills Block,NA,0.0,19628,NO
POSITIVE,19629,25.045111,92.4215,5,Jaintia Hills Block,NA,0.0,19629,NO
POSITIVE,19630,25.045386,92.420764,5,Jaintia Hills Block,NA,0.0,19630,NO
POSITIVE,19631,25.045389,92.410444,5,Jaintia Hills Block,NA,0.0,19631,NO
POSITIVE,19632,25.046181,92.408878,5,Jaintia Hills Block,NA,0.0,19632,NO
POSITIVE,19633,25.047194,92.404806,5,Jaintia Hills Block,NA,0.0,19633,NO
POSITIVE,19634,25.047444,92.409156,5,Jaintia Hills Block,NA,0.0,19634,NO
POSITIVE,19635,25.047556,92.405806,5,Jaintia Hills Block,NA,0.0,19635,NO
