Year,Month,Month_Name,Positive_Events,Days_In_Month,Cached_Daily_Grids,Missing_Daily_Grids,Antecedent_Span_Days,Antecedent_Cached,Antecedent_Missing
2007,4,April,0,30,0,30,59,0,59
2007,5,May,0,31,14,17,60,14,46
2007,6,June,2,30,29,1,59,43,16
2007,7,July,14,31,31,0,60,59,1
2007,8,August,5,31,31,0,60,60,0
2007,9,September,5,30,15,15,59,44,15
2007,10,October,0,31,0,31,60,14,46
2008,4,April,0,30,0,30,59,0,59
2008,5,May,0,31,0,31,60,0,60
2008,6,June,0,30,0,30,59,0,59
2008,7,July,0,31,20,11,60,20,40
2008,8,August,3,31,17,14,60,37,23
2008,9,September,0,30,0,30,59,15,44
2008,10,October,0,31,0,31,60,0,60
2009,4,April,0,30,0,30,59,0,59
2009,5,May,0,31,1,30,60,1,59
2009,6,June,1,30,30,0,59,31,28
2009,7,July,6,31,17,14,60,46,14
2009,8,August,0,31,0,31,60,15,45
2009,9,September,0,30,0,30,59,0,59
2009,10,October,0,31,0,31,60,0,60
2010,4,April,7,30,22,8,59,30,29
2010,5,May,0,31,2,29,60,23,37
2010,6,June,3,30,28,2,59,30,29
2010,7,July,0,31,3,28,60,30,30
2010,8,August,1,31,27,4,60,30,30
2010,9,September,0,30,0,30,59,25,34
2010,10,October,0,31,0,31,60,0,60
2011,4,April,0,30,0,30,59,0,59
2011,5,May,0,31,4,27,60,4,56
2011,6,June,1,30,26,4,59,30,29
2011,7,July,0,31,0,31,60,25,35
2011,8,August,0,31,0,31,60,0,60
2011,9,September,0,30,0,30,59,0,59
2011,10,October,0,31,0,31,60,0,60
2012,4,April,0,30,29,1,59,29,30
2012,5,May,1,31,5,26,60,34,26
2012,6,June,9,30,30,0,59,34,25
2012,7,July,1,31,31,0,60,60,0
2012,8,August,1,31,21,10,60,50,10
2012,9,September,0,30,0,30,59,19,40
2012,10,October,0,31,0,31,60,0,60
2013,4,April,0,30,0,30,59,0,59
2013,5,May,0,31,0,31,60,0,60
2013,6,June,0,30,0,30,59,0,59
2013,7,July,0,31,24,7,60,24,36
2013,8,August,1,31,6,25,60,30,30
2013,9,September,0,30,0,30,59,4,55
2013,10,October,0,31,0,31,60,0,60
2014,4,April,0,30,0,30,59,0,59
2014,5,May,0,31,0,31,60,0,60
2014,6,June,0,30,0,30,59,0,59
2014,7,July,0,31,7,24,60,7,53
2014,8,August,1,31,31,0,60,38,22
2014,9,September,4,30,24,6,59,53,6
2014,10,October,0,31,0,31,60,23,37
2017,4,April,0,30,0,30,59,0,59
2017,5,May,0,31,13,18,60,13,47
2017,6,June,1,30,17,13,59,30,29
2017,7,July,0,31,0,31,60,16,44
2017,8,August,0,31,0,31,60,0,60
2017,9,September,0,30,0,30,59,0,59
2017,10,October,0,31,0,31,60,0,60
2018,4,April,0,30,23,7,59,23,36
2018,5,May,1,31,7,24,60,30,30
2018,6,June,0,30,0,30,59,5,54
2018,7,July,0,31,0,31,60,0,60
2018,8,August,0,31,0,31,60,0,60
2018,9,September,0,30,0,30,59,0,59
2018,10,October,0,31,0,31,60,0,60
2019,4,April,0,30,0,30,59,0,59
2019,5,May,0,31,3,28,60,3,57
2019,6,June,4,30,30,0,59,33,26
2019,7,July,3,31,10,21,60,39,21
2019,8,August,0,31,0,31,60,8,52
2019,9,September,0,30,0,30,59,0,59
2019,10,October,0,31,0,31,60,0,60
2020,4,April,0,30,5,25,59,5,54
2020,5,May,10,31,30,1,60,35,25
2020,6,June,1,30,26,4,59,54,5
2020,7,July,0,31,0,31,60,25,35
2020,8,August,0,31,0,31,60,0,60
2020,9,September,0,30,0,30,59,0,59
2020,10,October,0,31,0,31,60,0,60
2022,4,April,5,30,4,26,59,30,29
2022,5,May,0,31,21,10,60,24,36
2022,6,June,9,30,17,13,59,38,21
2022,7,July,0,31,0,31,60,16,44
2022,8,August,0,31,0,31,60,0,60
2022,9,September,0,30,0,30,59,0,59
2022,10,October,0,31,0,31,60,0,60
2023,4,April,1,30,13,17,59,30,29
2023,5,May,0,31,13,18,60,25,35
2023,6,June,1,30,17,13,59,30,29
2023,7,July,0,31,20,11,60,36,24
2023,8,August,1,31,10,21,60,30,30
2023,9,September,0,30,0,30,59,8,51
2023,10,October,0,31,0,31,60,0,60
2024,4,April,0,30,3,27,59,3,56
2024,5,May,16,31,31,0,60,34,26
2024,6,June,12,30,30,0,59,59,0
2024,7,July,12,31,31,0,60,60,0
2024,8,August,3,31,28,3,60,57,3
2024,9,September,0,30,26,4,59,52,7
2024,10,October,2,31,8,23,60,34,26
2025,4,April,0,30,2,28,59,2,57
2025,5,May,29,31,31,0,60,33,27
2025,6,June,5,30,30,0,59,59,0
2025,7,July,2,31,17,14,60,46,14
2025,8,August,1,31,19,12,60,34,26
2025,9,September,0,30,0,30,59,17,42
2025,10,October,0,31,0,31,60,0,60
2026,4,April,0,30,0,30,59,0,59
2026,5,May,0,31,0,31,60,0,60
2026,6,June,0,30,17,13,59,17,42
2026,7,July,1,31,13,18,60,30,30
