supervised_id,y_target,rainfall_event_day,ari_3,ari_7,ari_15,ari_30,max_1day_7d,max_3day_30d,rainy_days_7d,rainy_days_15d,rainy_days_30d
POS_0001,1,65.93,127.63,167.35,246.92,328.5,65.93,127.63,4.0,5.0,8.0
POS_0002,1,41.61,145.62,317.83,464.96,554.65,68.2,145.62,7.0,12.0,19.0
POS_0003,1,24.81,124.07,314.97,460.8,570.38,74.44,173.69,7.0,12.0,19.0
POS_0004,1,40.04,76.45,208.45,350.71,820.6,66.0,164.63,6.0,11.0,23.0
POS_0005,1,24.58,86.02,178.76,309.26,806.38,61.45,160.97,6.0,12.0,25.0
POS_0006,1,84.58,163.58,265.2,488.63,854.54,84.58,163.58,7.0,13.0,23.0
POS_0007,1,29.27,292.68,400.77,493.89,601.19,175.61,292.68,6.0,11.0,14.0
POS_0008,1,24.75,37.12,46.04,53.9,77.3,24.75,37.12,3.0,4.0,7.0
POS_0009,1,60.85,81.13,167.6,468.21,886.21,60.85,223.34,5.0,10.0,16.0
POS_0010,1,0.0,91.58,225.96,510.8,1076.03,65.41,221.06,6.0,13.0,23.0
POS_0011,1,39.15,221.87,355.0,413.14,690.14,104.41,221.87,7.0,10.0,20.0
POS_0012,1,44.3,236.29,345.75,430.72,694.6,118.14,236.29,7.0,11.0,21.0
POS_0013,1,67.85,248.77,352.36,409.17,694.72,113.08,248.77,7.0,9.0,19.0
POS_0014,1,39.15,221.87,355.0,413.14,690.14,104.41,221.87,7.0,10.0,20.0
POS_0015,1,67.04,245.82,344.39,427.68,714.02,111.73,245.82,7.0,10.0,20.0
POS_0016,1,97.25,145.87,145.87,205.8,297.92,97.25,145.87,2.0,7.0,10.0
POS_0017,1,59.6,85.08,277.3,535.34,958.31,127.37,300.31,4.0,9.0,20.0
POS_0018,1,51.91,77.4,265.52,533.18,1010.85,127.44,289.27,4.0,9.0,20.0
POS_0019,1,0.0,15.91,136.6,284.34,759.06,64.37,260.09,4.0,8.0,16.0
POS_0020,1,27.51,55.02,163.13,273.03,665.95,46.75,191.78,5.0,10.0,19.0
POS_0021,1,0.0,25.23,146.84,303.33,793.93,52.59,332.25,4.0,8.0,15.0
POS_0022,1,24.54,98.15,143.23,274.94,665.44,73.61,229.23,4.0,8.0,16.0
POS_0023,1,0.0,23.09,138.23,254.97,723.15,54.95,234.43,4.0,7.0,15.0
POS_0024,1,38.87,38.87,74.87,131.98,545.01,38.87,234.55,3.0,5.0,16.0
POS_0025,1,70.23,136.94,200.14,345.78,631.04,70.23,136.94,6.0,10.0,22.0
POS_0026,1,111.26,166.89,212.66,509.04,800.14,111.26,213.58,3.0,10.0,19.0
POS_0027,1,60.62,181.85,277.87,372.83,632.5,75.77,181.85,7.0,10.0,20.0
POS_0028,1,45.77,213.58,323.26,449.67,710.11,106.79,213.58,7.0,10.0,20.0
POS_0029,1,17.45,153.8,170.44,368.31,555.94,69.79,153.8,4.0,11.0,17.0
POS_0030,1,111.26,166.89,212.66,509.04,800.14,111.26,213.58,3.0,10.0,19.0
POS_0031,1,97.02,161.71,195.49,494.18,799.0,97.02,202.69,3.0,10.0,19.0
POS_0032,1,26.81,120.13,162.92,221.48,478.09,58.32,123.26,6.0,10.0,17.0
POS_0033,1,26.81,120.13,162.92,221.48,478.09,58.32,123.26,6.0,10.0,17.0
POS_0034,1,26.81,120.13,162.92,221.48,478.09,58.32,123.26,6.0,10.0,17.0
POS_0035,1,26.81,120.13,162.92,221.48,478.09,58.32,123.26,6.0,10.0,17.0
POS_0036,1,26.81,120.13,162.92,221.48,478.09,58.32,123.26,6.0,10.0,17.0
POS_0037,1,42.65,159.93,197.61,345.55,547.26,74.63,159.93,4.0,12.0,23.0
POS_0038,1,42.62,255.72,346.44,387.49,556.26,113.65,255.72,6.0,10.0,23.0
POS_0039,1,15.1,45.29,45.29,89.38,149.12,30.19,59.74,2.0,7.0,9.0
POS_0040,1,35.05,70.09,194.61,234.34,406.97,41.51,124.52,5.0,9.0,18.0
POS_0041,1,0.0,52.61,100.8,396.37,635.88,48.19,192.77,3.0,10.0,22.0
POS_0042,1,11.64,58.21,147.34,418.36,711.19,52.68,171.21,7.0,14.0,28.0
POS_0043,1,0.0,52.61,100.8,396.37,635.88,48.19,192.77,3.0,10.0,22.0
POS_0044,1,0.0,27.18,87.64,302.13,531.1,41.12,164.47,5.0,12.0,24.0
POS_0045,1,16.32,195.8,251.76,304.98,438.28,97.9,197.29,6.0,9.0,19.0
POS_0046,1,16.43,27.38,60.77,133.39,268.47,22.26,57.13,5.0,10.0,20.0
POS_0047,1,0.0,52.77,69.88,158.07,302.19,33.58,68.75,4.0,9.0,19.0
POS_0048,1,8.42,30.0,102.21,176.61,245.86,47.71,72.21,6.0,8.0,11.0
POS_0049,1,104.15,123.96,209.89,297.52,350.42,104.15,123.96,7.0,10.0,12.0
POS_0050,1,70.0,128.0,202.87,251.07,302.81,70.0,128.0,7.0,12.0,18.0
POS_0051,1,102.56,197.37,209.22,213.19,440.09,102.56,197.37,4.0,4.0,10.0
POS_0052,1,114.88,141.63,268.62,362.33,392.79,114.88,141.63,7.0,9.0,10.0
POS_0053,1,58.0,128.48,263.0,455.37,918.28,58.18,318.19,7.0,10.0,19.0
POS_0054,1,93.13,225.63,343.36,517.89,1056.71,93.13,318.19,7.0,11.0,19.0
POS_0055,1,93.13,225.63,343.36,517.89,1056.71,93.13,318.19,7.0,11.0,19.0
POS_0056,1,93.13,225.63,343.36,517.89,1056.71,93.13,318.19,7.0,11.0,19.0
POS_0057,1,58.0,128.48,263.0,455.37,918.28,58.18,318.19,7.0,10.0,19.0
POS_0058,1,0.0,44.66,106.94,195.07,285.42,36.77,76.57,6.0,9.0,14.0
POS_0059,1,23.41,100.87,180.48,309.3,686.55,61.97,194.15,5.0,12.0,25.0
POS_0060,1,56.61,141.52,208.24,352.05,490.94,56.61,141.52,5.0,11.0,19.0
POS_0061,1,49.5,173.26,239.56,408.06,558.89,74.26,173.26,5.0,11.0,19.0
POS_0062,1,42.59,127.78,194.9,332.39,469.61,44.75,127.78,5.0,11.0,19.0
POS_0063,1,45.59,136.77,193.05,333.45,470.36,45.59,136.77,5.0,12.0,20.0
POS_0064,1,42.59,127.78,194.9,332.39,469.61,44.75,127.78,5.0,11.0,19.0
POS_0065,1,159.34,318.67,393.52,605.99,826.66,159.34,318.67,5.0,11.0,20.0
POS_0066,1,159.34,318.67,393.52,605.99,826.66,159.34,318.67,5.0,11.0,20.0
POS_0067,1,159.34,318.67,393.52,605.99,826.66,159.34,318.67,5.0,11.0,20.0
POS_0068,1,13.84,79.07,114.63,195.47,404.37,41.52,79.07,6.0,11.0,24.0
POS_0069,1,50.84,101.67,151.75,234.58,538.91,50.84,101.67,6.0,11.0,24.0
POS_0070,1,55.2,99.36,144.1,235.74,532.87,55.2,99.36,6.0,12.0,24.0
POS_0071,1,55.2,99.36,144.1,235.74,532.87,55.2,99.36,6.0,12.0,24.0
POS_0072,1,32.61,171.24,333.09,453.5,829.61,81.51,214.8,6.0,12.0,20.0
POS_0073,1,32.61,171.24,333.09,453.5,829.61,81.51,214.8,6.0,12.0,20.0
POS_0074,1,33.41,154.13,306.88,411.87,783.14,71.88,192.6,6.0,12.0,20.0
POS_0075,1,36.23,174.59,334.66,417.87,797.1,75.33,213.69,6.0,11.0,19.0
POS_0076,1,40.31,147.57,306.63,407.88,759.7,74.85,182.11,6.0,12.0,21.0
POS_0077,1,40.31,147.57,306.63,407.88,759.7,74.85,182.11,6.0,12.0,21.0
POS_0078,1,39.61,152.22,302.91,403.89,757.28,70.92,183.52,6.0,12.0,21.0
POS_0079,1,0.0,0.0,0.0,90.64,477.07,0.0,136.96,0.0,2.0,14.0
POS_0080,1,88.77,202.88,302.08,546.76,982.65,88.77,202.88,6.0,13.0,26.0
POS_0081,1,88.77,202.88,302.08,546.76,982.65,88.77,202.88,6.0,13.0,26.0
POS_0082,1,97.36,198.26,294.68,542.09,954.37,97.36,198.26,6.0,13.0,24.0
POS_0083,1,97.36,198.26,294.68,542.09,954.37,97.36,198.26,6.0,13.0,24.0
POS_0084,1,97.36,198.26,294.68,542.09,954.37,97.36,198.26,6.0,13.0,24.0
POS_0085,1,97.36,198.26,294.68,542.09,954.37,97.36,198.26,6.0,13.0,24.0
POS_0086,1,102.09,207.02,295.32,539.86,972.27,102.09,207.02,6.0,13.0,24.0
POS_0087,1,102.09,207.02,295.32,539.86,972.27,102.09,207.02,6.0,13.0,24.0
POS_0088,1,102.09,207.02,295.32,539.86,972.27,102.09,207.02,6.0,13.0,24.0
POS_0089,1,57.57,69.34,129.63,272.42,455.38,57.57,103.19,5.0,10.0,18.0
POS_0090,1,42.23,166.18,230.75,392.7,829.48,77.47,166.18,6.0,12.0,24.0
POS_0091,1,25.65,179.58,240.62,294.33,421.37,89.79,182.41,5.0,10.0,20.0
POS_0092,1,21.71,47.29,117.83,164.68,394.73,25.59,103.05,7.0,10.0,19.0
