Evaluation_Strategy,Model_Type,Fold_ID,Train_N,Train_Pos,Train_Bg,Val_N,Val_Pos,Val_Bg,ROC_AUC,PR_AUC,Precision_demo,Recall_demo,F1_demo,Brier_Score,TP,FP,TN,FN
Stratified_Block_Month_5Fold,Baseline_LogisticRegression,Fold_1,571,136,435,173,50,123,0.8637,0.7473,0.8387,0.52,0.642,0.1278,26,5,118,24
Stratified_Block_Month_5Fold,Baseline_LogisticRegression,Fold_2,586,144,442,158,42,116,0.8908,0.7671,0.8182,0.6429,0.72,0.1071,27,6,110,15
Stratified_Block_Month_5Fold,Baseline_LogisticRegression,Fold_3,596,151,445,148,35,113,0.7856,0.6602,0.72,0.5143,0.6,0.1315,18,7,106,17
Stratified_Block_Month_5Fold,Baseline_LogisticRegression,Fold_4,608,155,453,136,31,105,0.8783,0.7509,0.7692,0.6452,0.7018,0.1063,20,6,99,11
Stratified_Block_Month_5Fold,Baseline_LogisticRegression,Fold_5,615,158,457,129,28,101,0.8342,0.7215,0.6818,0.5357,0.6,0.106,15,7,94,13
Stratified_Block_Month_5Fold,Primary_ModelB_GradientBoosted,Fold_1,571,136,435,173,50,123,0.8767,0.8095,0.8649,0.64,0.7356,0.1045,32,5,118,18
Stratified_Block_Month_5Fold,Primary_ModelB_GradientBoosted,Fold_2,586,144,442,158,42,116,0.8639,0.8247,0.8824,0.7143,0.7895,0.0954,30,4,112,12
Stratified_Block_Month_5Fold,Primary_ModelB_GradientBoosted,Fold_3,596,151,445,148,35,113,0.9411,0.8662,0.875,0.6,0.7119,0.086,21,3,110,14
Stratified_Block_Month_5Fold,Primary_ModelB_GradientBoosted,Fold_4,608,155,453,136,31,105,0.8885,0.7506,0.7667,0.7419,0.7541,0.0951,23,7,98,8
Stratified_Block_Month_5Fold,Primary_ModelB_GradientBoosted,Fold_5,615,158,457,129,28,101,0.8837,0.7939,0.9048,0.6786,0.7755,0.0816,19,2,99,9
Spatial_Block_Out,Baseline_LogisticRegression,East Khasi Block,564,141,423,180,45,135,0.8421,0.753,0.7714,0.6,0.675,0.1144,27,8,127,18
Spatial_Block_Out,Baseline_LogisticRegression,Garo Hills Block,712,178,534,32,8,24,0.8854,0.6429,0.625,0.625,0.625,0.129,5,3,21,3
Spatial_Block_Out,Baseline_LogisticRegression,Jaintia Hills Block,596,149,447,148,37,111,0.9194,0.7758,0.8333,0.5405,0.6557,0.1038,20,4,107,17
Spatial_Block_Out,Baseline_LogisticRegression,Ri-Bhoi Block,532,133,399,212,53,159,0.7941,0.6524,0.7407,0.3774,0.5,0.1342,20,7,152,33
Spatial_Block_Out,Baseline_LogisticRegression,West Khasi Block,572,143,429,172,43,129,0.7885,0.6443,0.65,0.6047,0.6265,0.142,26,14,115,17
