Operating_Profile,Threshold,Year,Total_Observations,Positive_Events,Background_Obs,TP,FP,TN,FN,Recall_POD,Precision_PPV,False_Alarm_Ratio_FAR,Total_Warnings
High_Recall_Life_Safety (Target POD >= 95%),0.04,2007,59,26,33,26,29,4,0,1.0,0.4727,0.5273,55
High_Recall_Life_Safety (Target POD >= 95%),0.04,2008,37,3,34,3,25,9,0,1.0,0.1071,0.8929,28
High_Recall_Life_Safety (Target POD >= 95%),0.04,2009,40,7,33,7,24,9,0,1.0,0.2258,0.7742,31
High_Recall_Life_Safety (Target POD >= 95%),0.04,2010,46,11,35,11,31,4,0,1.0,0.2619,0.7381,42
High_Recall_Life_Safety (Target POD >= 95%),0.04,2011,31,1,30,1,21,9,0,1.0,0.0455,0.9545,22
High_Recall_Life_Safety (Target POD >= 95%),0.04,2012,42,12,30,11,25,5,1,0.9167,0.3056,0.6944,36
High_Recall_Life_Safety (Target POD >= 95%),0.04,2013,40,1,39,0,35,4,1,0.0,0.0,1.0,35
High_Recall_Life_Safety (Target POD >= 95%),0.04,2014,39,5,34,5,29,5,0,1.0,0.1471,0.8529,34
High_Recall_Life_Safety (Target POD >= 95%),0.04,2017,37,1,36,1,27,9,0,1.0,0.0357,0.9643,28
High_Recall_Life_Safety (Target POD >= 95%),0.04,2018,35,1,34,1,24,10,0,1.0,0.04,0.96,25
High_Recall_Life_Safety (Target POD >= 95%),0.04,2019,48,7,41,7,27,14,0,1.0,0.2059,0.7941,34
High_Recall_Life_Safety (Target POD >= 95%),0.04,2020,39,11,28,11,23,5,0,1.0,0.3235,0.6765,34
High_Recall_Life_Safety (Target POD >= 95%),0.04,2022,45,14,31,14,26,5,0,1.0,0.35,0.65,40
High_Recall_Life_Safety (Target POD >= 95%),0.04,2023,43,3,40,1,21,19,2,0.3333,0.0455,0.9545,22
High_Recall_Life_Safety (Target POD >= 95%),0.04,2024,75,45,30,44,24,6,1,0.9778,0.6471,0.3529,68
High_Recall_Life_Safety (Target POD >= 95%),0.04,2025,67,37,30,35,26,4,2,0.9459,0.5738,0.4262,61
High_Recall_Life_Safety (Target POD >= 95%),0.04,2026,21,1,20,1,17,3,0,1.0,0.0556,0.9444,18
Early_Warning_Protection (Target POD >= 90%),0.1,2007,59,26,33,23,20,13,3,0.8846,0.5349,0.4651,43
Early_Warning_Protection (Target POD >= 90%),0.1,2008,37,3,34,3,13,21,0,1.0,0.1875,0.8125,16
Early_Warning_Protection (Target POD >= 90%),0.1,2009,40,7,33,6,13,20,1,0.8571,0.3158,0.6842,19
Early_Warning_Protection (Target POD >= 90%),0.1,2010,46,11,35,11,16,19,0,1.0,0.4074,0.5926,27
Early_Warning_Protection (Target POD >= 90%),0.1,2011,31,1,30,1,12,18,0,1.0,0.0769,0.9231,13
Early_Warning_Protection (Target POD >= 90%),0.1,2012,42,12,30,11,16,14,1,0.9167,0.4074,0.5926,27
Early_Warning_Protection (Target POD >= 90%),0.1,2013,40,1,39,0,21,18,1,0.0,0.0,1.0,21
Early_Warning_Protection (Target POD >= 90%),0.1,2014,39,5,34,4,22,12,1,0.8,0.1538,0.8462,26
Early_Warning_Protection (Target POD >= 90%),0.1,2017,37,1,36,0,17,19,1,0.0,0.0,1.0,17
Early_Warning_Protection (Target POD >= 90%),0.1,2018,35,1,34,1,12,22,0,1.0,0.0769,0.9231,13
Early_Warning_Protection (Target POD >= 90%),0.1,2019,48,7,41,7,13,28,0,1.0,0.35,0.65,20
Early_Warning_Protection (Target POD >= 90%),0.1,2020,39,11,28,9,15,13,2,0.8182,0.375,0.625,24
Early_Warning_Protection (Target POD >= 90%),0.1,2022,45,14,31,14,10,21,0,1.0,0.5833,0.4167,24
Early_Warning_Protection (Target POD >= 90%),0.1,2023,43,3,40,1,9,31,2,0.3333,0.1,0.9,10
