Threshold,TP,FP,TN,FN,Recall_POD,Precision_PPV,F1_Score,F2_Score,False_Positive_Rate,False_Alarm_Ratio_FAR,Miss_Rate_FNR,Total_Warnings,Warning_Rate_Pct,Cost_Scenario_A_c1,Cost_Scenario_A_c1_Normalized,Cost_Scenario_B_c2,Cost_Scenario_B_c2_Normalized,Cost_Scenario_C_c5,Cost_Scenario_C_c5_Normalized,Cost_Scenario_D_c10,Cost_Scenario_D_c10_Normalized
0.02,184,519,39,2,0.9892,0.2617,0.4139,0.6358,0.9301,0.7383,0.0108,703,94.49,521.0,0.7003,523.0,0.5624,529.0,0.3555,539.0,0.2229
0.04,179,434,124,7,0.9624,0.292,0.4481,0.6595,0.7778,0.708,0.0376,613,82.39,441.0,0.5927,448.0,0.4817,469.0,0.3152,504.0,0.2084
0.06,173,349,209,13,0.9301,0.3314,0.4887,0.6833,0.6254,0.6686,0.0699,522,70.16,362.0,0.4866,375.0,0.4032,414.0,0.2782,479.0,0.1981
0.08,171,296,262,15,0.9194,0.3662,0.5237,0.706,0.5305,0.6338,0.0806,467,62.77,311.0,0.418,326.0,0.3505,371.0,0.2493,446.0,0.1844
0.1,169,236,322,17,0.9086,0.4173,0.5719,0.7354,0.4229,0.5827,0.0914,405,54.44,253.0,0.3401,270.0,0.2903,321.0,0.2157,406.0,0.1679
0.12,166,197,361,20,0.8925,0.4573,0.6047,0.7498,0.353,0.5427,0.1075,363,48.79,217.0,0.2917,237.0,0.2548,297.0,0.1996,397.0,0.1642
0.14,161,175,383,25,0.8656,0.4792,0.6169,0.7454,0.3136,0.5208,0.1344,336,45.16,200.0,0.2688,225.0,0.2419,300.0,0.2016,425.0,0.1758
0.16,157,147,411,29,0.8441,0.5164,0.6408,0.749,0.2634,0.4836,0.1559,304,40.86,176.0,0.2366,205.0,0.2204,292.0,0.1962,437.0,0.1807
0.18,156,129,429,30,0.8387,0.5474,0.6624,0.758,0.2312,0.4526,0.1613,285,38.31,159.0,0.2137,189.0,0.2032,279.0,0.1875,429.0,0.1774
0.2,152,117,441,34,0.8172,0.5651,0.6681,0.7502,0.2097,0.4349,0.1828,269,36.16,151.0,0.203,185.0,0.1989,287.0,0.1929,457.0,0.189
0.22,150,99,459,36,0.8065,0.6024,0.6897,0.7553,0.1774,0.3976,0.1935,249,33.47,135.0,0.1815,171.0,0.1839,279.0,0.1875,459.0,0.1898
0.24,147,91,467,39,0.7903,0.6176,0.6934,0.7485,0.1631,0.3824,0.2097,238,31.99,130.0,0.1747,169.0,0.1817,286.0,0.1922,481.0,0.1989
0.26,144,83,475,42,0.7742,0.6344,0.6973,0.7415,0.1487,0.3656,0.2258,227,30.51,125.0,0.168,167.0,0.1796,293.0,0.1969,503.0,0.208
0.28,141,71,487,45,0.7581,0.6651,0.7085,0.7374,0.1272,0.3349,0.2419,212,28.49,116.0,0.1559,161.0,0.1731,296.0,0.1989,521.0,0.2155
0.3,139,62,496,47,0.7473,0.6915,0.7183,0.7354,0.1111,0.3085,0.2527,201,27.02,109.0,0.1465,156.0,0.1677,297.0,0.1996,532.0,0.22
0.32,138,51,507,48,0.7419,0.7302,0.736,0.7395,0.0914,0.2698,0.2581,189,25.4,99.0,0.1331,147.0,0.1581,291.0,0.1956,531.0,0.2196
