grid_cell_id,latitude,longitude,spatial_block_id,spatial_block_name,elevation_m,slope_deg,static_susceptibility_P_S,dynamic_trigger_P_D,coupled_risk_score,alert_tier_code,alert_tier_name,alert_color_hex,recommended_action
CELL_MEG_0001,25.54515,90.10081,1,Garo Hills Block,69.2,21.8,0.0394,0.6284,0.0248,Level 1: Green,Low / Normal Baseline Monitoring,#22c55e,Routine baseline monitoring. Safe terrain condition.
CELL_MEG_0002,25.50737,91.59432,2,West Khasi Block,1370.6,26.9,0.0519,0.6284,0.0326,Level 1: Green,Low / Normal Baseline Monitoring,#22c55e,Routine baseline monitoring. Safe terrain condition.
CELL_MEG_0003,25.89165,92.34897,4,Ri-Bhoi Block,1079.0,29.2,0.0579,0.6284,0.0364,Level 1: Green,Low / Normal Baseline Monitoring,#22c55e,Routine baseline monitoring. Safe terrain condition.
CELL_MEG_0004,25.30864,91.4529,2,West Khasi Block,1138.3,19.5,0.049,0.6284,0.0308,Level 1: Green,Low / Normal Baseline Monitoring,#22c55e,Routine baseline monitoring. Safe terrain condition.
CELL_MEG_0005,25.58252,91.46093,2,West Khasi Block,1285.9,18.3,0.127,0.6284,0.0798,Level 1: Green,Low / Normal Baseline Monitoring,#22c55e,Routine baseline monitoring. Safe terrain condition.
CELL_MEG_0006,25.23544,91.72956,3,East Khasi Block,1436.8,27.3,0.0376,0.6284,0.0236,Level 1: Green,Low / Normal Baseline Monitoring,#22c55e,Routine baseline monitoring. Safe terrain condition.
CELL_MEG_0007,25.12062,91.61419,3,East Khasi Block,1158.1,24.1,0.0418,0.6284,0.0263,Level 1: Green,Low / Normal Baseline Monitoring,#22c55e,Routine baseline monitoring. Safe terrain condition.
CELL_MEG_0008,25.85167,92.28532,4,Ri-Bhoi Block,1144.3,25.5,0.021,0.6284,0.0132,Level 1: Green,Low / Normal Baseline Monitoring,#22c55e,Routine baseline monitoring. Safe terrain condition.
CELL_MEG_0009,25.53841,91.26273,2,West Khasi Block,903.5,15.4,0.3419,0.6284,0.2149,Level 3: Orange,Warning / Heightened Hazard Alert,#f97316,Heightened warning. Travel caution and heavy transport limits.
CELL_MEG_0010,25.19606,91.93274,3,East Khasi Block,1293.9,29.7,0.0215,0.6284,0.0135,Level 1: Green,Low / Normal Baseline Monitoring,#22c55e,Routine baseline monitoring. Safe terrain condition.
CELL_MEG_0011,25.26818,90.65476,1,Garo Hills Block,57.0,27.8,0.0206,0.6284,0.013,Level 1: Green,Low / Normal Baseline Monitoring,#22c55e,Routine baseline monitoring. Safe terrain condition.
CELL_MEG_0012,25.06576,91.37415,2,West Khasi Block,819.8,32.5,0.0263,0.6284,0.0166,Level 1: Green,Low / Normal Baseline Monitoring,#22c55e,Routine baseline monitoring. Safe terrain condition.
CELL_MEG_0013,25.73121,92.402,4,Ri-Bhoi Block,1042.6,26.0,0.0763,0.6284,0.0479,Level 1: Green,Low / Normal Baseline Monitoring,#22c55e,Routine baseline monitoring. Safe terrain condition.
CELL_MEG_0014,25.32648,91.5261,2,West Khasi Block,1293.4,15.7,0.0451,0.6284,0.0284,Level 1: Green,Low / Normal Baseline Monitoring,#22c55e,Routine baseline monitoring. Safe terrain condition.
CELL_MEG_0015,25.25615,91.58133,2,West Khasi Block,1210.5,32.1,0.1494,0.6284,0.0939,Level 1: Green,Low / Normal Baseline Monitoring,#22c55e,Routine baseline monitoring. Safe terrain condition.
CELL_MEG_0016,25.38762,91.58056,2,West Khasi Block,1451.7,25.7,0.1099,0.6284,0.0691,Level 1: Green,Low / Normal Baseline Monitoring,#22c55e,Routine baseline monitoring. Safe terrain condition.
CELL_MEG_0017,25.89514,91.89075,4,Ri-Bhoi Block,1328.8,33.8,0.0378,0.6284,0.0237,Level 1: Green,Low / Normal Baseline Monitoring,#22c55e,Routine baseline monitoring. Safe terrain condition.
CELL_MEG_0018,25.06565,91.00579,2,West Khasi Block,485.9,23.9,0.0891,0.6284,0.056,Level 1: Green,Low / Normal Baseline Monitoring,#22c55e,Routine baseline monitoring. Safe terrain condition.
CELL_MEG_0019,25.1195,91.11684,2,West Khasi Block,601.6,24.3,0.0245,0.6284,0.0154,Level 1: Green,Low / Normal Baseline Monitoring,#22c55e,Routine baseline monitoring. Safe terrain condition.
CELL_MEG_0020,25.61203,91.79947,3,East Khasi Block,1704.0,23.4,0.084,0.6284,0.0528,Level 1: Green,Low / Normal Baseline Monitoring,#22c55e,Routine baseline monitoring. Safe terrain condition.
